Year,Інфекційні захворювання,Вік,Область,Value
2021,Кашлюк,до 1 року,Івано-Франківська,76.2
2021,"Дифтерія, правець",18 місяців,Івано-Франківська,71.9
2021,Кашлюк,18 місяців,Івано-Франківська,71.9
2021,"Дифтерія, правець",6 років,Івано-Франківська,67.8
2021,"Дифтерія, правець",дорослі,Івано-Франківська,45.6
2021,"Кір, паротит, краснуха",1 рік,Івано-Франківська,79.9
2021,"Кір, паротит, краснуха",6 років,Івано-Франківська,85.3
2021,Гепатит В,до 1 року,Івано-Франківська,79.7
2021,Туберкульоз,до 1 року,Кіровоградська,92.6
2021,Поліомієліт,до 1 року,Кіровоградська,93.6
2021,Поліомієліт,18 місяців,Кіровоградська,92.1
2021,Поліомієліт,6 років,Кіровоградська,90.0
2021,Поліомієліт,14 років,Кіровоградська,86.1
2021,"Дифтерія, правець",до 1 року,Кіровоградська,92.9
2021,Кашлюк,до 1 року,Кіровоградська,92.9
2021,"Дифтерія, правець",18 місяців,Кіровоградська,85.9
2021,Кашлюк,18 місяців,Кіровоградська,85.9
2021,"Дифтерія, правець",6 років,Кіровоградська,73.6
2021,"Дифтерія, правець",дорослі,Кіровоградська,36.7
2021,"Кір, паротит, краснуха",1 рік,Кіровоградська,97.3
2021,"Кір, паротит, краснуха",6 років,Кіровоградська,90.8
2021,Гепатит В,до 1 року,Кіровоградська,79.9
2021,Туберкульоз,до 1 року,Луганська,76.6
2021,Поліомієліт,до 1 року,Луганська,84.5
2021,Поліомієліт,18 місяців,Луганська,90.7
2021,Поліомієліт,6 років,Луганська,86.5
2021,Поліомієліт,14 років,Луганська,87.8
2021,"Дифтерія, правець",до 1 року,Луганська,88.9
2021,Кашлюк,до 1 року,Луганська,88.9
2021,"Дифтерія, правець",18 місяців,Луганська,92.4
2021,Кашлюк,18 місяців,Луганська,92.4
2021,"Дифтерія, правець",6 років,Луганська,85.0
2021,"Дифтерія, правець",дорослі,Луганська,38.8
2021,"Кір, паротит, краснуха",1 рік,Луганська,95.1
2021,"Кір, паротит, краснуха",6 років,Луганська,90.9
2021,Гепатит В,до 1 року,Луганська,83.3
2021,Туберкульоз,до 1 року,Львівська,83.4
2021,Поліомієліт,до 1 року,Львівська,73.9
2021,Поліомієліт,18 місяців,Львівська,66.8
2021,Поліомієліт,6 років,Львівська,60.9
2021,Поліомієліт,14 років,Львівська,57.9
2021,"Дифтерія, правець",до 1 року,Львівська,72.6
2021,Кашлюк,до 1 року,Львівська,72.6
2021,"Дифтерія, правець",18 місяців,Львівська,64.0
2021,Кашлюк,18 місяців,Львівська,64.0
2021,"Дифтерія, правець",6 років,Львівська,58.5
2021,"Дифтерія, правець",дорослі,Львівська,26.8
2021,"Кір, паротит, краснуха",1 рік,Львівська,85.3
2021,"Кір, паротит, краснуха",6 років,Львівська,77.0
2021,Гепатит В,до 1 року,Львівська,70.2
2021,Туберкульоз,до 1 року,Миколаївська,86.3
2021,Поліомієліт,до 1 року,Миколаївська,91.3
2021,Поліомієліт,18 місяців,Миколаївська,97.3
2021,Поліомієліт,6 років,Миколаївська,92.6
2021,Поліомієліт,14 років,Миколаївська,86.6
2021,"Дифтерія, правець",до 1 року,Миколаївська,95.5
2021,Кашлюк,до 1 року,Миколаївська,95.5
2021,"Дифтерія, правець",18 місяців,Миколаївська,100.0
2021,Кашлюк,18 місяців,Миколаївська,100.0
2021,"Дифтерія, правець",6 років,Миколаївська,92.6
2021,"Дифтерія, правець",дорослі,Миколаївська,71.4
2021,"Кір, паротит, краснуха",1 рік,Миколаївська,97.0
2021,"Кір, паротит, краснуха",6 років,Миколаївська,99.9
2021,Гепатит В,до 1 року,Миколаївська,96.8
2021,Туберкульоз,до 1 року,Одеська,77.6
2021,Поліомієліт,до 1 року,Одеська,75.5
2021,Поліомієліт,18 місяців,Одеська,74.3
2021,Поліомієліт,6 років,Одеська,66.9
2021,Поліомієліт,14 років,Одеська,63.9
2021,"Дифтерія, правець",до 1 року,Одеська,79.3
2021,Кашлюк,до 1 року,Одеська,79.3
2021,"Дифтерія, правець",18 місяців,Одеська,75.6
2021,Кашлюк,18 місяців,Одеська,75.6
2021,"Дифтерія, правець",6 років,Одеська,61.6
2021,"Дифтерія, правець",дорослі,Одеська,63.0
2021,"Кір, паротит, краснуха",1 рік,Одеська,85.4
2021,"Кір, паротит, краснуха",6 років,Одеська,80.0
2021,Гепатит В,до 1 року,Одеська,77.4
2021,Туберкульоз,до 1 року,Полтавська,88.7
2021,Поліомієліт,до 1 року,Полтавська,89.7
2021,Поліомієліт,18 місяців,Полтавська,91.5
2021,Поліомієліт,6 років,Полтавська,89.1
2021,Поліомієліт,14 років,Полтавська,91.2
2021,"Дифтерія, правець",до 1 року,Полтавська,90.6
2021,Кашлюк,до 1 року,Полтавська,90.6
2021,"Дифтерія, правець",18 місяців,Полтавська,91.6
2021,Кашлюк,18 місяців,Полтавська,91.6
2021,"Дифтерія, правець",6 років,Полтавська,83.8
2021,"Дифтерія, правець",дорослі,Полтавська,75.0
2021,"Кір, паротит, краснуха",1 рік,Полтавська,96.6
2021,"Кір, паротит, краснуха",6 років,Полтавська,92.8
2021,Гепатит В,до 1 року,Полтавська,91.0
2021,Туберкульоз,до 1 року,Рівненська,82.2
2021,Поліомієліт,до 1 року,Рівненська,80.8
2021,Поліомієліт,18 місяців,Рівненська,82.1
2021,Поліомієліт,6 років,Рівненська,89.4
2021,Поліомієліт,14 років,Рівненська,87.2
2021,"Дифтерія, правець",до 1 року,Рівненська,78.2
2021,Кашлюк,до 1 року,Рівненська,78.2
2021,"Дифтерія, правець",18 місяців,Рівненська,75.6
2021,Кашлюк,18 місяців,Рівненська,75.6
2021,"Дифтерія, правець",6 років,Рівненська,73.1
2021,"Дифтерія, правець",дорослі,Рівненська,49.6
2021,"Кір, паротит, краснуха",1 рік,Рівненська,81.5
2021,"Кір, паротит, краснуха",6 років,Рівненська,82.9
2021,Гепатит В,до 1 року,Рівненська,69.9
2021,Туберкульоз,до 1 року,Сумська,88.5
2021,Поліомієліт,до 1 року,Сумська,93.7
2021,Поліомієліт,18 місяців,Сумська,97.7
2021,Поліомієліт,6 років,Сумська,91.5
2021,Поліомієліт,14 років,Сумська,85.3
2021,"Дифтерія, правець",до 1 року,Сумська,90.0
2021,Кашлюк,до 1 року,Сумська,90.0
2021,"Дифтерія, правець",18 місяців,Сумська,88.0
2021,Кашлюк,18 місяців,Сумська,88.0
2021,"Дифтерія, правець",6 років,Сумська,74.2
2021,"Дифтерія, правець",дорослі,Сумська,70.9
2021,"Кір, паротит, краснуха",1 рік,Сумська,97.3
2021,"Кір, паротит, краснуха",6 років,Сумська,95.5
2021,Гепатит В,до 1 року,Сумська,95.8
2021,Туберкульоз,до 1 року,Тернопільська,77.0
2021,Поліомієліт,до 1 року,Тернопільська,75.7
2021,Поліомієліт,18 місяців,Тернопільська,77.3
2021,Поліомієліт,6 років,Тернопільська,76.0
2021,Поліомієліт,14 років,Тернопільська,73.2
2021,"Дифтерія, правець",до 1 року,Тернопільська,71.7
2021,Кашлюк,до 1 року,Тернопільська,71.7
2021,"Дифтерія, правець",18 місяців,Тернопільська,72.8
2021,Кашлюк,18 місяців,Тернопільська,72.8
2021,"Дифтерія, правець",6 років,Тернопільська,69.4
2021,"Дифтерія, правець",дорослі,Тернопільська,42.1
2021,"Кір, паротит, краснуха",1 рік,Тернопільська,86.3
2021,"Кір, паротит, краснуха",6 років,Тернопільська,78.6
2021,Гепатит В,до 1 року,Тернопільська,57.9
2021,Туберкульоз,до 1 року,Харківська,77.3
2021,Поліомієліт,до 1 року,Харківська,73.5
2021,Поліомієліт,18 місяців,Харківська,74.2
2021,Поліомієліт,6 років,Харківська,71.5
2021,Поліомієліт,14 років,Харківська,70.6
2021,"Дифтерія, правець",до 1 року,Харківська,75.4
2021,Кашлюк,до 1 року,Харківська,75.4
2021,"Дифтерія, правець",18 місяців,Харківська,70.2
2021,Кашлюк,18 місяців,Харківська,70.2
2021,"Дифтерія, правець",6 років,Харківська,57.5
2021,"Дифтерія, правець",дорослі,Харківська,40.7
2021,"Кір, паротит, краснуха",1 рік,Харківська,81.5
2021,"Кір, паротит, краснуха",6 років,Харківська,82.5
2021,Гепатит В,до 1 року,Харківська,77.2
2021,Туберкульоз,до 1 року,Херсонська,84.0
2021,Поліомієліт,до 1 року,Херсонська,72.1
2021,Поліомієліт,18 місяців,Херсонська,66.0
2021,Поліомієліт,6 років,Херсонська,80.1
2021,Поліомієліт,14 років,Херсонська,79.4
2021,"Дифтерія, правець",до 1 року,Херсонська,77.7
2021,Кашлюк,до 1 року,Херсонська,77.7
2021,"Дифтерія, правець",18 місяців,Херсонська,69.7
2021,Кашлюк,18 місяців,Херсонська,69.7
2021,"Дифтерія, правець",6 років,Херсонська,77.0
2021,"Дифтерія, правець",дорослі,Херсонська,46.2
2021,"Кір, паротит, краснуха",1 рік,Херсонська,89.8
2021,"Кір, паротит, краснуха",6 років,Херсонська,90.0
2021,Гепатит В,до 1 року,Херсонська,82.8
2021,Туберкульоз,до 1 року,Хмельницька,88.1
2021,Поліомієліт,до 1 року,Хмельницька,78.1
2021,Поліомієліт,18 місяців,Хмельницька,83.3
2021,Поліомієліт,6 років,Хмельницька,73.7
2021,Поліомієліт,14 років,Хмельницька,73.6
2021,"Дифтерія, правець",до 1 року,Хмельницька,74.9
2021,Кашлюк,до 1 року,Хмельницька,74.9
2021,"Дифтерія, правець",18 місяців,Хмельницька,76.0
2021,Кашлюк,18 місяців,Хмельницька,76.0
2021,"Дифтерія, правець",6 років,Хмельницька,65.4
2021,"Дифтерія, правець",дорослі,Хмельницька,54.1
2021,"Кір, паротит, краснуха",1 рік,Хмельницька,86.7
2021,"Кір, паротит, краснуха",6 років,Хмельницька,89.7
2021,Гепатит В,до 1 року,Хмельницька,64.0
2021,Туберкульоз,до 1 року,Черкаська,88.1
2021,Поліомієліт,до 1 року,Черкаська,93.5
2021,Поліомієліт,18 місяців,Черкаська,93.3
2021,Поліомієліт,6 років,Черкаська,86.0
2021,Поліомієліт,14 років,Черкаська,87.6
2021,"Дифтерія, правець",до 1 року,Черкаська,93.8
2021,Кашлюк,до 1 року,Черкаська,93.8
2021,"Дифтерія, правець",18 місяців,Черкаська,97.1
2021,Кашлюк,18 місяців,Черкаська,97.1
2021,"Дифтерія, правець",6 років,Черкаська,72.4
2021,"Дифтерія, правець",дорослі,Черкаська,61.6
2021,"Кір, паротит, краснуха",1 рік,Черкаська,94.5
2021,"Кір, паротит, краснуха",6 років,Черкаська,82.8
2021,Гепатит В,до 1 року,Черкаська,93.8
2021,Туберкульоз,до 1 року,Чернівецька,85.9
2021,Поліомієліт,до 1 року,Чернівецька,73.4
2021,Поліомієліт,18 місяців,Чернівецька,77.2
2021,Поліомієліт,6 років,Чернівецька,76.2
2021,Поліомієліт,14 років,Чернівецька,64.7
2021,"Дифтерія, правець",до 1 року,Чернівецька,70.8
2021,Кашлюк,до 1 року,Чернівецька,70.8
2021,"Дифтерія, правець",18 місяців,Чернівецька,72.6
2021,Кашлюк,18 місяців,Чернівецька,72.6
2021,"Дифтерія, правець",6 років,Чернівецька,77.2
2021,"Дифтерія, правець",дорослі,Чернівецька,30.6
2021,"Кір, паротит, краснуха",1 рік,Чернівецька,81.5
2021,"Кір, паротит, краснуха",6 років,Чернівецька,82.3
2021,Гепатит В,до 1 року,Чернівецька,76.6
2021,Туберкульоз,до 1 року,Чернігівська,80.1
2021,Поліомієліт,до 1 року,Чернігівська,85.3
2021,Поліомієліт,18 місяців,Чернігівська,76.1
2021,Поліомієліт,6 років,Чернігівська,87.5
2021,Поліомієліт,14 років,Чернігівська,82.4
2021,"Дифтерія, правець",до 1 року,Чернігівська,81.4
2021,Кашлюк,до 1 року,Чернігівська,81.4
2021,"Дифтерія, правець",18 місяців,Чернігівська,70.9
2021,Кашлюк,18 місяців,Чернігівська,70.9
2021,"Дифтерія, правець",6 років,Чернігівська,78.8
2021,"Дифтерія, правець",дорослі,Чернігівська,14.7
2021,"Кір, паротит, краснуха",1 рік,Чернігівська,86.7
2021,"Кір, паротит, краснуха",6 років,Чернігівська,88.0
2021,Гепатит В,до 1 року,Чернігівська,72.7
2022,Туберкульоз,до 1 року,Вінницька,82.2
2022,Поліомієліт,до 1 року,Вінницька,70.0
2022,Поліомієліт,18 місяців,Вінницька,69.8
2022,Поліомієліт,6 років,Вінницька,63.7
2022,Поліомієліт,14 років,Вінницька,54.6
2022,"Дифтерія, правець",до 1 року,Вінницька,78.5
2022,Кашлюк,до 1 року,Вінницька,78.5
2022,"Дифтерія, правець",18 місяців,Вінницька,76.8
2022,Кашлюк,18 місяців,Вінницька,76.8
2022,"Дифтерія, правець",6 років,Вінницька,66.7
2022,"Дифтерія, правець",дорослі,Вінницька,44.2
2022,"Кір, паротит, краснуха",1 рік,Вінницька,81.7
2022,"Кір, паротит, краснуха",6 років,Вінницька,78.4
2022,Гепатит В,до 1 року,Вінницька,67.8
2022,Туберкульоз,до 1 року,Волинська,90.7
2022,Поліомієліт,до 1 року,Волинська,79.5
2022,Поліомієліт,18 місяців,Волинська,78.1
2022,Поліомієліт,6 років,Волинська,85.3
2022,Поліомієліт,14 років,Волинська,79.6
2022,"Дифтерія, правець",до 1 року,Волинська,79.9
2022,Кашлюк,до 1 року,Волинська,79.9
2022,"Дифтерія, правець",18 місяців,Волинська,80.2
2022,Кашлюк,18 місяців,Волинська,80.2
2022,"Дифтерія, правець",6 років,Волинська,85.4
2022,"Дифтерія, правець",дорослі,Волинська,56.0
2022,"Кір, паротит, краснуха",1 рік,Волинська,86.1
2022,"Кір, паротит, краснуха",6 років,Волинська,94.4
2022,Гепатит В,до 1 року,Волинська,77.0
2022,Туберкульоз,до 1 року,Дніпропетровська,69.3
2022,Поліомієліт,до 1 року,Дніпропетровська,64.1
2022,Поліомієліт,18 місяців,Дніпропетровська,65.7
2022,Поліомієліт,6 років,Дніпропетровська,64.6
2022,Поліомієліт,14 років,Дніпропетровська,59.4
2022,"Дифтерія, правець",до 1 року,Дніпропетровська,65.7
2022,Кашлюк,до 1 року,Дніпропетровська,65.7
2022,"Дифтерія, правець",18 місяців,Дніпропетровська,66.5
2022,Кашлюк,18 місяців,Дніпропетровська,66.5
2022,"Дифтерія, правець",6 років,Дніпропетровська,71.2
2022,"Дифтерія, правець",дорослі,Дніпропетровська,19.0
2022,"Кір, паротит, краснуха",1 рік,Дніпропетровська,73.7
2022,"Кір, паротит, краснуха",6 років,Дніпропетровська,69.2
2022,Гепатит В,до 1 року,Дніпропетровська,53.5
2022,Туберкульоз,до 1 року,Донецька,29.9
2022,Поліомієліт,до 1 року,Донецька,53.4
2022,Поліомієліт,18 місяців,Донецька,55.3
2022,Поліомієліт,6 років,Донецька,64.2
2022,Поліомієліт,14 років,Донецька,41.0
2022,"Дифтерія, правець",до 1 року,Донецька,64.1
2022,Кашлюк,до 1 року,Донецька,64.1
2022,"Дифтерія, правець",18 місяців,Донецька,60.6
2022,Кашлюк,18 місяців,Донецька,60.6
2022,"Дифтерія, правець",6 років,Донецька,64.4
2022,"Дифтерія, правець",дорослі,Донецька,53.5
2022,"Кір, паротит, краснуха",1 рік,Донецька,70.5
2022,"Кір, паротит, краснуха",6 років,Донецька,63.9
2022,Гепатит В,до 1 року,Донецька,35.9
2022,Туберкульоз,до 1 року,Житомирська,71.8
2022,Поліомієліт,до 1 року,Житомирська,69.8
2022,Поліомієліт,18 місяців,Житомирська,70.0
2022,Поліомієліт,6 років,Житомирська,61.9
2022,Поліомієліт,14 років,Житомирська,64.5
2022,"Дифтерія, правець",до 1 року,Житомирська,73.4
2022,Кашлюк,до 1 року,Житомирська,73.4
2022,"Дифтерія, правець",18 місяців,Житомирська,79.5
2022,Кашлюк,18 місяців,Житомирська,79.5
2022,"Дифтерія, правець",6 років,Житомирська,69.4
2022,"Дифтерія, правець",дорослі,Житомирська,29.3
2022,"Кір, паротит, краснуха",1 рік,Житомирська,80.0
2022,"Кір, паротит, краснуха",6 років,Житомирська,63.9
2022,Гепатит В,до 1 року,Житомирська,68.3
2022,Туберкульоз,до 1 року,Закарпатська,64.0
2022,Поліомієліт,до 1 року,Закарпатська,74.4
2022,Поліомієліт,18 місяців,Закарпатська,74.0
2022,Поліомієліт,6 років,Закарпатська,73.5
2022,Поліомієліт,14 років,Закарпатська,59.4
2022,"Дифтерія, правець",до 1 року,Закарпатська,75.4
2022,Кашлюк,до 1 року,Закарпатська,75.4
2022,"Дифтерія, правець",18 місяців,Закарпатська,74.2
2022,Кашлюк,18 місяців,Закарпатська,74.2
2022,"Дифтерія, правець",6 років,Закарпатська,73.1
2022,"Дифтерія, правець",дорослі,Закарпатська,40.3
2022,"Кір, паротит, краснуха",1 рік,Закарпатська,78.1
2022,"Кір, паротит, краснуха",6 років,Закарпатська,76.4
2022,Гепатит В,до 1 року,Закарпатська,51.6
2022,Туберкульоз,до 1 року,Запорізька,64.7
2022,Поліомієліт,до 1 року,Запорізька,51.3
2022,Поліомієліт,18 місяців,Запорізька,50.9
2022,Поліомієліт,6 років,Запорізька,46.2
2022,Поліомієліт,14 років,Запорізька,40.9
2022,"Дифтерія, правець",до 1 року,Запорізька,57.8
2022,Кашлюк,до 1 року,Запорізька,57.8
2022,"Дифтерія, правець",18 місяців,Запорізька,58.1
2022,Кашлюк,18 місяців,Запорізька,58.1
2022,"Дифтерія, правець",6 років,Запорізька,44.3
2022,"Дифтерія, правець",дорослі,Запорізька,19.7
2022,"Кір, паротит, краснуха",1 рік,Запорізька,56.0
2022,"Кір, паротит, краснуха",6 років,Запорізька,48.3
2022,Гепатит В,до 1 року,Запорізька,45.1
2022,Туберкульоз,до 1 року,Івано-Франківська,76.2
2022,Поліомієліт,до 1 року,Івано-Франківська,68.9
2022,Поліомієліт,18 місяців,Івано-Франківська,67.0
2022,Поліомієліт,6 років,Івано-Франківська,52.8
2022,Поліомієліт,14 років,Івано-Франківська,42.5
2022,"Дифтерія, правець",до 1 року,Івано-Франківська,78.0
2022,Кашлюк,до 1 року,Івано-Франківська,78.0
2022,"Дифтерія, правець",18 місяців,Івано-Франківська,78.9
2022,Кашлюк,18 місяців,Івано-Франківська,78.9
2022,"Дифтерія, правець",6 років,Івано-Франківська,60.1
2022,"Дифтерія, правець",дорослі,Івано-Франківська,28.6
2022,"Кір, паротит, краснуха",1 рік,Івано-Франківська,70.8
2022,"Кір, паротит, краснуха",6 років,Івано-Франківська,60.4
2022,Гепатит В,до 1 року,Івано-Франківська,63.2
2022,Туберкульоз,до 1 року,Кіровоградська,82.8
2022,Поліомієліт,до 1 року,Кіровоградська,90.9
2022,Поліомієліт,18 місяців,Кіровоградська,87.0
2022,Поліомієліт,6 років,Кіровоградська,84.5
2022,Поліомієліт,14 років,Кіровоградська,73.3
2022,"Дифтерія, правець",до 1 року,Кіровоградська,97.6
2022,Кашлюк,до 1 року,Кіровоградська,97.6
2022,"Дифтерія, правець",18 місяців,Кіровоградська,86.8
2022,Кашлюк,18 місяців,Кіровоградська,86.8
2022,"Дифтерія, правець",6 років,Кіровоградська,79.2
2022,"Дифтерія, правець",дорослі,Кіровоградська,35.6
2022,"Кір, паротит, краснуха",1 рік,Кіровоградська,95.9
2022,"Кір, паротит, краснуха",6 років,Кіровоградська,75.7
2022,Гепатит В,до 1 року,Кіровоградська,74.4
2022,Туберкульоз,до 1 року,Луганська,6.9
2022,Поліомієліт,до 1 року,Луганська,6.8
2022,Поліомієліт,18 місяців,Луганська,6.6
2022,Поліомієліт,6 років,Луганська,3.2
2022,Поліомієліт,14 років,Луганська,4.2
2022,"Дифтерія, правець",до 1 року,Луганська,7.1
2022,Кашлюк,до 1 року,Луганська,7.1
2022,"Дифтерія, правець",18 місяців,Луганська,6.1
2022,Кашлюк,18 місяців,Луганська,6.1
2022,"Дифтерія, правець",6 років,Луганська,3.2
2022,"Дифтерія, правець",дорослі,Луганська,1.3
2022,"Кір, паротит, краснуха",1 рік,Луганська,7.6
2022,"Кір, паротит, краснуха",6 років,Луганська,3.6
2022,Гепатит В,до 1 року,Луганська,5.2
2022,Туберкульоз,до 1 року,Львівська,77.4
2022,Поліомієліт,до 1 року,Львівська,61.5
2022,Поліомієліт,18 місяців,Львівська,51.6
2022,Поліомієліт,6 років,Львівська,43.3
2022,Поліомієліт,14 років,Львівська,39.3
2022,"Дифтерія, правець",до 1 року,Львівська,68.6
2022,Кашлюк,до 1 року,Львівська,68.6
2022,"Дифтерія, правець",18 місяців,Львівська,61.7
2022,Кашлюк,18 місяців,Львівська,61.7
2022,"Дифтерія, правець",6 років,Львівська,59.9
2022,"Дифтерія, правець",дорослі,Львівська,41.3
2022,"Кір, паротит, краснуха",1 рік,Львівська,67.0
2022,"Кір, паротит, краснуха",6 років,Львівська,54.9
2022,Гепатит В,до 1 року,Львівська,55.6
2022,Туберкульоз,до 1 року,Миколаївська,82.5
2022,Поліомієліт,до 1 року,Миколаївська,63.9
2022,Поліомієліт,18 місяців,Миколаївська,66.9
2022,Поліомієліт,6 років,Миколаївська,61.1
2022,Поліомієліт,14 років,Миколаївська,54.0
2022,"Дифтерія, правець",до 1 року,Миколаївська,74.7
2022,Кашлюк,до 1 року,Миколаївська,74.7
2022,"Дифтерія, правець",18 місяців,Миколаївська,85.3
2022,Кашлюк,18 місяців,Миколаївська,85.3
2022,"Дифтерія, правець",6 років,Миколаївська,64.6
2022,"Дифтерія, правець",дорослі,Миколаївська,53.3
2022,"Кір, паротит, краснуха",1 рік,Миколаївська,66.6
2022,"Кір, паротит, краснуха",6 років,Миколаївська,68.0
2022,Гепатит В,до 1 року,Миколаївська,61.7
2022,Туберкульоз,до 1 року,Одеська,66.3
2022,Поліомієліт,до 1 року,Одеська,62.3
2022,Поліомієліт,18 місяців,Одеська,55.7
2022,Поліомієліт,6 років,Одеська,58.5
2022,Поліомієліт,14 років,Одеська,51.6
2022,"Дифтерія, правець",до 1 року,Одеська,70.2
2022,Кашлюк,до 1 року,Одеська,70.2
2022,"Дифтерія, правець",18 місяців,Одеська,64.6
2022,Кашлюк,18 місяців,Одеська,64.6
2022,"Дифтерія, правець",6 років,Одеська,63.0
2022,"Дифтерія, правець",дорослі,Одеська,57.0
2022,"Кір, паротит, краснуха",1 рік,Одеська,66.7
2022,"Кір, паротит, краснуха",6 років,Одеська,63.0
2022,Гепатит В,до 1 року,Одеська,54.4
2022,Туберкульоз,до 1 року,Полтавська,91.1
2022,Поліомієліт,до 1 року,Полтавська,86.1
2022,Поліомієліт,18 місяців,Полтавська,85.3
2022,Поліомієліт,6 років,Полтавська,79.8
2022,Поліомієліт,14 років,Полтавська,77.7
2022,"Дифтерія, правець",до 1 року,Полтавська,94.7
2022,Кашлюк,до 1 року,Полтавська,94.7
2022,"Дифтерія, правець",18 місяців,Полтавська,95.5
2022,Кашлюк,18 місяців,Полтавська,95.5
2022,"Дифтерія, правець",6 років,Полтавська,90.2
2022,"Дифтерія, правець",дорослі,Полтавська,68.0
2022,"Кір, паротит, краснуха",1 рік,Полтавська,96.8
2022,"Кір, паротит, краснуха",6 років,Полтавська,88.1
2022,Гепатит В,до 1 року,Полтавська,90.3
2022,Туберкульоз,до 1 року,Рівненська,83.5
2022,Поліомієліт,до 1 року,Рівненська,90.1
2022,Поліомієліт,18 місяців,Рівненська,85.7
2022,Поліомієліт,6 років,Рівненська,89.3
2022,Поліомієліт,14 років,Рівненська,84.7
2022,"Дифтерія, правець",до 1 року,Рівненська,87.7
2022,Кашлюк,до 1 року,Рівненська,87.7
2022,"Дифтерія, правець",18 місяців,Рівненська,83.7
2022,Кашлюк,18 місяців,Рівненська,83.7
2022,"Дифтерія, правець",6 років,Рівненська,86.3
2022,"Дифтерія, правець",дорослі,Рівненська,71.0
2022,"Кір, паротит, краснуха",1 рік,Рівненська,86.6
2022,"Кір, паротит, краснуха",6 років,Рівненська,83.7
2022,Гепатит В,до 1 року,Рівненська,84.6
2022,Туберкульоз,до 1 року,Сумська,91.9
2022,Поліомієліт,до 1 року,Сумська,84.4
2022,Поліомієліт,18 місяців,Сумська,85.8
2022,Поліомієліт,6 років,Сумська,82.4
2022,Поліомієліт,14 років,Сумська,84.1
2022,"Дифтерія, правець",до 1 року,Сумська,82.6
2022,Кашлюк,до 1 року,Сумська,82.6
2022,"Дифтерія, правець",18 місяців,Сумська,86.4
2022,Кашлюк,18 місяців,Сумська,86.4
2022,"Дифтерія, правець",6 років,Сумська,84.5
2022,"Дифтерія, правець",дорослі,Сумська,59.8
2022,"Кір, паротит, краснуха",1 рік,Сумська,95.8
2022,"Кір, паротит, краснуха",6 років,Сумська,97.5
2022,Гепатит В,до 1 року,Сумська,80.9
2022,Туберкульоз,до 1 року,Тернопільська,65.7
2022,Поліомієліт,до 1 року,Тернопільська,66.1
2022,Поліомієліт,18 місяців,Тернопільська,67.6
2022,Поліомієліт,6 років,Тернопільська,58.9
2022,Поліомієліт,14 років,Тернопільська,54.5
2022,"Дифтерія, правець",до 1 року,Тернопільська,63.1
2022,Кашлюк,до 1 року,Тернопільська,63.1
2022,"Дифтерія, правець",18 місяців,Тернопільська,67.9
2022,Кашлюк,18 місяців,Тернопільська,67.9
2022,"Дифтерія, правець",6 років,Тернопільська,71.0
2022,"Дифтерія, правець",дорослі,Тернопільська,51.6
2022,"Кір, паротит, краснуха",1 рік,Тернопільська,82.4
2022,"Кір, паротит, краснуха",6 років,Тернопільська,70.8
2022,Гепатит В,до 1 року,Тернопільська,55.6
2022,Туберкульоз,до 1 року,Харківська,76.9
2022,Поліомієліт,до 1 року,Харківська,45.5
2022,Поліомієліт,18 місяців,Харківська,42.2
2022,Поліомієліт,6 років,Харківська,42.9
2022,Поліомієліт,14 років,Харківська,43.0
2022,"Дифтерія, правець",до 1 року,Харківська,47.4
2022,Кашлюк,до 1 року,Харківська,47.4
2022,"Дифтерія, правець",18 місяців,Харківська,43.1
2022,Кашлюк,18 місяців,Харківська,43.1
2022,"Дифтерія, правець",6 років,Харківська,40.5
2022,"Дифтерія, правець",дорослі,Харківська,19.2
2022,"Кір, паротит, краснуха",1 рік,Харківська,43.8
2022,"Кір, паротит, краснуха",6 років,Харківська,43.4
2022,Гепатит В,до 1 року,Харківська,38.2
2022,Туберкульоз,до 1 року,Херсонська,28.2
2022,Поліомієліт,до 1 року,Херсонська,9.6
2022,Поліомієліт,18 місяців,Херсонська,7.2
2022,Поліомієліт,6 років,Херсонська,4.5
2022,Поліомієліт,14 років,Херсонська,5.1
2022,"Дифтерія, правець",до 1 року,Херсонська,32.3
2022,Кашлюк,до 1 року,Херсонська,32.3
2022,"Дифтерія, правець",18 місяців,Херсонська,24.6
2022,Кашлюк,18 місяців,Херсонська,24.6
2022,"Дифтерія, правець",6 років,Херсонська,39.7
2022,"Дифтерія, правець",дорослі,Херсонська,15.6
2022,"Кір, паротит, краснуха",1 рік,Херсонська,29.3
2022,"Кір, паротит, краснуха",6 років,Херсонська,38.4
2022,Гепатит В,до 1 року,Херсонська,20.8
2022,Туберкульоз,до 1 року,Хмельницька,73.3
2022,Поліомієліт,до 1 року,Хмельницька,76.8
2022,Поліомієліт,18 місяців,Хмельницька,71.6
2022,Поліомієліт,6 років,Хмельницька,63.4
2022,Поліомієліт,14 років,Хмельницька,58.1
2022,"Дифтерія, правець",до 1 року,Хмельницька,82.4
2022,Кашлюк,до 1 року,Хмельницька,82.4
2022,"Дифтерія, правець",18 місяців,Хмельницька,77.2
2022,Кашлюк,18 місяців,Хмельницька,77.2
2022,"Дифтерія, правець",6 років,Хмельницька,64.8
2022,"Дифтерія, правець",дорослі,Хмельницька,37.0
2022,"Кір, паротит, краснуха",1 рік,Хмельницька,90.3
2022,"Кір, паротит, краснуха",6 років,Хмельницька,78.0
2022,Гепатит В,до 1 року,Хмельницька,61.8
