Year,Види економічної діяльності,Організаційно-правові форми господарювання,Область,Кількість найманих працівників,Value
2019,Виробництво матраців,,,,
2020,Виробництво матраців,,,,
2021,Виробництво матраців,,,,13.8
2022,Виробництво матраців,,,,18.5
2023,Виробництво матраців,,,,17.9
2024,Виробництво матраців,,,,23.3
2015,Виробництво інших меблів,,,,
2016,Виробництво інших меблів,,,,
2017,Виробництво інших меблів,,,,
2018,Виробництво інших меблів,,,,
2019,Виробництво інших меблів,,,,
2020,Виробництво інших меблів,,,,
2021,Виробництво інших меблів,,,,17.6
2022,Виробництво інших меблів,,,,18.9
2023,Виробництво інших меблів,,,,18.6
2024,Виробництво інших меблів,,,,21.8
2015,Карбування монет,,,,
2016,Карбування монет,,,,
2017,Карбування монет,,,,
2018,Карбування монет,,,,
2019,Карбування монет,,,,
2020,Карбування монет,,,,
2021,Карбування монет,,,,
2022,Карбування монет,,,,
2023,Карбування монет,,,,
2024,Карбування монет,,,,
2015,Виробництво ювелірних і подібних виробів,,,,
2016,Виробництво ювелірних і подібних виробів,,,,
2017,Виробництво ювелірних і подібних виробів,,,,
2018,Виробництво ювелірних і подібних виробів,,,,
2019,Виробництво ювелірних і подібних виробів,,,,
2020,Виробництво ювелірних і подібних виробів,,,,
2021,Виробництво ювелірних і подібних виробів,,,,25.4
2022,Виробництво ювелірних і подібних виробів,,,,26.0
2023,Виробництво ювелірних і подібних виробів,,,,29.7
2024,Виробництво ювелірних і подібних виробів,,,,29.3
2015,Виробництво біжутерії та подібних виробів,,,,
2016,Виробництво біжутерії та подібних виробів,,,,
2017,Виробництво біжутерії та подібних виробів,,,,
2018,Виробництво біжутерії та подібних виробів,,,,
2019,Виробництво біжутерії та подібних виробів,,,,
2020,Виробництво біжутерії та подібних виробів,,,,
2021,Виробництво біжутерії та подібних виробів,,,,18.2
2022,Виробництво біжутерії та подібних виробів,,,,12.5
2023,Виробництво біжутерії та подібних виробів,,,,22.2
2024,Виробництво біжутерії та подібних виробів,,,,40.0
2015,Виробництво музичних інструментів,,,,
2016,Виробництво музичних інструментів,,,,
2017,Виробництво музичних інструментів,,,,
2018,Виробництво музичних інструментів,,,,
2019,Виробництво музичних інструментів,,,,
2020,Виробництво музичних інструментів,,,,
2021,Виробництво музичних інструментів,,,,25.0
2022,Виробництво музичних інструментів,,,,22.2
2023,Виробництво музичних інструментів,,,,33.3
2024,Виробництво музичних інструментів,,,,16.7
2015,Виробництво спортивних товарів,,,,
2016,Виробництво спортивних товарів,,,,
2017,Виробництво спортивних товарів,,,,
2018,Виробництво спортивних товарів,,,,
2019,Виробництво спортивних товарів,,,,
2020,Виробництво спортивних товарів,,,,
2021,Виробництво спортивних товарів,,,,21.9
2022,Виробництво спортивних товарів,,,,17.5
2023,Виробництво спортивних товарів,,,,19.2
2024,Виробництво спортивних товарів,,,,19.3
2015,Виробництво ігор та іграшок,,,,
2016,Виробництво ігор та іграшок,,,,
2017,Виробництво ігор та іграшок,,,,
2018,Виробництво ігор та іграшок,,,,
2019,Виробництво ігор та іграшок,,,,
2020,Виробництво ігор та іграшок,,,,
2021,Виробництво ігор та іграшок,,,,27.1
2022,Виробництво ігор та іграшок,,,,26.6
2023,Виробництво ігор та іграшок,,,,27.5
2024,Виробництво ігор та іграшок,,,,26.8
2015,Виробництво медичних і стоматологічних інструментів і матеріалів,,,,
2016,Виробництво медичних і стоматологічних інструментів і матеріалів,,,,
2017,Виробництво медичних і стоматологічних інструментів і матеріалів,,,,
2018,Виробництво медичних і стоматологічних інструментів і матеріалів,,,,
2019,Виробництво медичних і стоматологічних інструментів і матеріалів,,,,
2020,Виробництво медичних і стоматологічних інструментів і матеріалів,,,,
2021,Виробництво медичних і стоматологічних інструментів і матеріалів,,,,21.0
2022,Виробництво медичних і стоматологічних інструментів і матеріалів,,,,20.9
2023,Виробництво медичних і стоматологічних інструментів і матеріалів,,,,21.9
2024,Виробництво медичних і стоматологічних інструментів і матеріалів,,,,25.6
2015,Виробництво мітел і щіток,,,,
2016,Виробництво мітел і щіток,,,,
2017,Виробництво мітел і щіток,,,,
2018,Виробництво мітел і щіток,,,,
2019,Виробництво мітел і щіток,,,,
2020,Виробництво мітел і щіток,,,,
2021,Виробництво мітел і щіток,,,,30.0
2022,Виробництво мітел і щіток,,,,33.3
2023,Виробництво мітел і щіток,,,,22.2
2024,Виробництво мітел і щіток,,,,41.7
2015,"Виробництво іншої продукції, н.в.і.у.",,,,
2016,"Виробництво іншої продукції, н.в.і.у.",,,,
2017,"Виробництво іншої продукції, н.в.і.у.",,,,
2018,"Виробництво іншої продукції, н.в.і.у.",,,,
2019,"Виробництво іншої продукції, н.в.і.у.",,,,
2020,"Виробництво іншої продукції, н.в.і.у.",,,,
2021,"Виробництво іншої продукції, н.в.і.у.",,,,25.9
2022,"Виробництво іншої продукції, н.в.і.у.",,,,25.6
2023,"Виробництво іншої продукції, н.в.і.у.",,,,25.7
2024,"Виробництво іншої продукції, н.в.і.у.",,,,25.6
2015,Ремонт і технічне обслуговування готових металевих виробів,,,,
2016,Ремонт і технічне обслуговування готових металевих виробів,,,,
2017,Ремонт і технічне обслуговування готових металевих виробів,,,,
2018,Ремонт і технічне обслуговування готових металевих виробів,,,,
2019,Ремонт і технічне обслуговування готових металевих виробів,,,,
2020,Ремонт і технічне обслуговування готових металевих виробів,,,,
2021,Ремонт і технічне обслуговування готових металевих виробів,,,,13.2
2022,Ремонт і технічне обслуговування готових металевих виробів,,,,11.2
2023,Ремонт і технічне обслуговування готових металевих виробів,,,,12.4
2024,Ремонт і технічне обслуговування готових металевих виробів,,,,15.1
2015,Ремонт і технічне обслуговування машин і устатковання промислового призначення,,,,
2016,Ремонт і технічне обслуговування машин і устатковання промислового призначення,,,,
2017,Ремонт і технічне обслуговування машин і устатковання промислового призначення,,,,
2018,Ремонт і технічне обслуговування машин і устатковання промислового призначення,,,,
2019,Ремонт і технічне обслуговування машин і устатковання промислового призначення,,,,
2020,Ремонт і технічне обслуговування машин і устатковання промислового призначення,,,,
2021,Ремонт і технічне обслуговування машин і устатковання промислового призначення,,,,15.4
2022,Ремонт і технічне обслуговування машин і устатковання промислового призначення,,,,15.7
2023,Ремонт і технічне обслуговування машин і устатковання промислового призначення,,,,16.6
2024,Ремонт і технічне обслуговування машин і устатковання промислового призначення,,,,18.3
2015,Ремонт і технічне обслуговування електронного й оптичного устатковання,,,,
2016,Ремонт і технічне обслуговування електронного й оптичного устатковання,,,,
2017,Ремонт і технічне обслуговування електронного й оптичного устатковання,,,,
2018,Ремонт і технічне обслуговування електронного й оптичного устатковання,,,,
2019,Ремонт і технічне обслуговування електронного й оптичного устатковання,,,,
2020,Ремонт і технічне обслуговування електронного й оптичного устатковання,,,,
2021,Ремонт і технічне обслуговування електронного й оптичного устатковання,,,,25.7
2022,Ремонт і технічне обслуговування електронного й оптичного устатковання,,,,27.6
2023,Ремонт і технічне обслуговування електронного й оптичного устатковання,,,,28.4
2024,Ремонт і технічне обслуговування електронного й оптичного устатковання,,,,28.2
2015,Ремонт і технічне обслуговування електричного устатковання,,,,
2016,Ремонт і технічне обслуговування електричного устатковання,,,,
2017,Ремонт і технічне обслуговування електричного устатковання,,,,
2018,Ремонт і технічне обслуговування електричного устатковання,,,,
2019,Ремонт і технічне обслуговування електричного устатковання,,,,
2020,Ремонт і технічне обслуговування електричного устатковання,,,,
2021,Ремонт і технічне обслуговування електричного устатковання,,,,17.2
2022,Ремонт і технічне обслуговування електричного устатковання,,,,15.7
2023,Ремонт і технічне обслуговування електричного устатковання,,,,17.3
2024,Ремонт і технічне обслуговування електричного устатковання,,,,16.9
2015,Ремонт і технічне обслуговування суден і човнів,,,,
2016,Ремонт і технічне обслуговування суден і човнів,,,,
2017,Ремонт і технічне обслуговування суден і човнів,,,,
2018,Ремонт і технічне обслуговування суден і човнів,,,,
2019,Ремонт і технічне обслуговування суден і човнів,,,,
2020,Ремонт і технічне обслуговування суден і човнів,,,,
2021,Ремонт і технічне обслуговування суден і човнів,,,,15.3
2022,Ремонт і технічне обслуговування суден і човнів,,,,13.7
2023,Ремонт і технічне обслуговування суден і човнів,,,,10.8
2024,Ремонт і технічне обслуговування суден і човнів,,,,14.3
2015,Ремонт і технічне обслуговування повітряних і космічних літальних апаратів,,,,
2016,Ремонт і технічне обслуговування повітряних і космічних літальних апаратів,,,,
2017,Ремонт і технічне обслуговування повітряних і космічних літальних апаратів,,,,
2018,Ремонт і технічне обслуговування повітряних і космічних літальних апаратів,,,,
2019,Ремонт і технічне обслуговування повітряних і космічних літальних апаратів,,,,
2020,Ремонт і технічне обслуговування повітряних і космічних літальних апаратів,,,,
2021,Ремонт і технічне обслуговування повітряних і космічних літальних апаратів,,,,9.1
2022,Ремонт і технічне обслуговування повітряних і космічних літальних апаратів,,,,8.7
2023,Ремонт і технічне обслуговування повітряних і космічних літальних апаратів,,,,23.1
2024,Ремонт і технічне обслуговування повітряних і космічних літальних апаратів,,,,25.0
2015,Ремонт і технічне обслуговування інших транспортних засобів,,,,
2016,Ремонт і технічне обслуговування інших транспортних засобів,,,,
2017,Ремонт і технічне обслуговування інших транспортних засобів,,,,
2018,Ремонт і технічне обслуговування інших транспортних засобів,,,,
2019,Ремонт і технічне обслуговування інших транспортних засобів,,,,
2020,Ремонт і технічне обслуговування інших транспортних засобів,,,,
2021,Ремонт і технічне обслуговування інших транспортних засобів,,,,19.3
2022,Ремонт і технічне обслуговування інших транспортних засобів,,,,14.9
2023,Ремонт і технічне обслуговування інших транспортних засобів,,,,14.1
2024,Ремонт і технічне обслуговування інших транспортних засобів,,,,14.9
2015,Ремонт і технічне обслуговування інших машин і устатковання,,,,
2016,Ремонт і технічне обслуговування інших машин і устатковання,,,,
2017,Ремонт і технічне обслуговування інших машин і устатковання,,,,
2018,Ремонт і технічне обслуговування інших машин і устатковання,,,,
2019,Ремонт і технічне обслуговування інших машин і устатковання,,,,
2020,Ремонт і технічне обслуговування інших машин і устатковання,,,,
2021,Ремонт і технічне обслуговування інших машин і устатковання,,,,23.4
2022,Ремонт і технічне обслуговування інших машин і устатковання,,,,20.5
2023,Ремонт і технічне обслуговування інших машин і устатковання,,,,17.2
2024,Ремонт і технічне обслуговування інших машин і устатковання,,,,18.2
2015,Установлення та монтаж машин і устатковання,,,,
2016,Установлення та монтаж машин і устатковання,,,,
2017,Установлення та монтаж машин і устатковання,,,,
2018,Установлення та монтаж машин і устатковання,,,,
2019,Установлення та монтаж машин і устатковання,,,,
2020,Установлення та монтаж машин і устатковання,,,,
2021,Установлення та монтаж машин і устатковання,,,,14.4
2022,Установлення та монтаж машин і устатковання,,,,14.1
2023,Установлення та монтаж машин і устатковання,,,,14.7
2024,Установлення та монтаж машин і устатковання,,,,16.7
2015,Виробництво електроенергії,,,,
2016,Виробництво електроенергії,,,,
2017,Виробництво електроенергії,,,,
2018,Виробництво електроенергії,,,,
2019,Виробництво електроенергії,,,,
2020,Виробництво електроенергії,,,,
2021,Виробництво електроенергії,,,,19.9
2022,Виробництво електроенергії,,,,20.7
2023,Виробництво електроенергії,,,,20.2
2024,Виробництво електроенергії,,,,22.0
2015,Передача електроенергії,,,,
2016,Передача електроенергії,,,,
2017,Передача електроенергії,,,,
2018,Передача електроенергії,,,,
2019,Передача електроенергії,,,,
2020,Передача електроенергії,,,,
2021,Передача електроенергії,,,,19.4
2022,Передача електроенергії,,,,14.3
2023,Передача електроенергії,,,,27.0
2024,Передача електроенергії,,,,10.5
2015,Розподілення електроенергії,,,,
2016,Розподілення електроенергії,,,,
2017,Розподілення електроенергії,,,,
2018,Розподілення електроенергії,,,,
2019,Розподілення електроенергії,,,,
2020,Розподілення електроенергії,,,,
2021,Розподілення електроенергії,,,,12.6
2022,Розподілення електроенергії,,,,10.9
2023,Розподілення електроенергії,,,,14.6
2024,Розподілення електроенергії,,,,16.0
2015,Торгівля електроенергією,,,,
2016,Торгівля електроенергією,,,,
2017,Торгівля електроенергією,,,,
2018,Торгівля електроенергією,,,,
2019,Торгівля електроенергією,,,,
2020,Торгівля електроенергією,,,,
2021,Торгівля електроенергією,,,,17.1
2022,Торгівля електроенергією,,,,21.1
2023,Торгівля електроенергією,,,,23.5
2024,Торгівля електроенергією,,,,24.4
2015,Виробництво газу,,,,
2016,Виробництво газу,,,,
2017,Виробництво газу,,,,
2018,Виробництво газу,,,,
2019,Виробництво газу,,,,
2020,Виробництво газу,,,,
2021,Виробництво газу,,,,25.0
2022,Виробництво газу,,,,25.0
2023,Виробництво газу,,,,20.0
2024,Виробництво газу,,,,23.1
2015,Розподілення газоподібного палива через місцеві (локальні) трубопроводи,,,,
2016,Розподілення газоподібного палива через місцеві (локальні) трубопроводи,,,,
2017,Розподілення газоподібного палива через місцеві (локальні) трубопроводи,,,,
2018,Розподілення газоподібного палива через місцеві (локальні) трубопроводи,,,,
2019,Розподілення газоподібного палива через місцеві (локальні) трубопроводи,,,,
2020,Розподілення газоподібного палива через місцеві (локальні) трубопроводи,,,,
2021,Розподілення газоподібного палива через місцеві (локальні) трубопроводи,,,,17.1
2022,Розподілення газоподібного палива через місцеві (локальні) трубопроводи,,,,17.1
2023,Розподілення газоподібного палива через місцеві (локальні) трубопроводи,,,,15.1
2024,Розподілення газоподібного палива через місцеві (локальні) трубопроводи,,,,24.4
2015,Торгівля газом через місцеві (локальні) трубопроводи,,,,
2016,Торгівля газом через місцеві (локальні) трубопроводи,,,,
2017,Торгівля газом через місцеві (локальні) трубопроводи,,,,
2018,Торгівля газом через місцеві (локальні) трубопроводи,,,,
2019,Торгівля газом через місцеві (локальні) трубопроводи,,,,
2020,Торгівля газом через місцеві (локальні) трубопроводи,,,,
2021,Торгівля газом через місцеві (локальні) трубопроводи,,,,23.3
2022,Торгівля газом через місцеві (локальні) трубопроводи,,,,22.2
2023,Торгівля газом через місцеві (локальні) трубопроводи,,,,22.7
2024,Торгівля газом через місцеві (локальні) трубопроводи,,,,20.6
2015,"Постачання пари, гарячої води та кондиційованого повітря",,,,
2016,"Постачання пари, гарячої води та кондиційованого повітря",,,,
2017,"Постачання пари, гарячої води та кондиційованого повітря",,,,
2018,"Постачання пари, гарячої води та кондиційованого повітря",,,,
2019,"Постачання пари, гарячої води та кондиційованого повітря",,,,
2020,"Постачання пари, гарячої води та кондиційованого повітря",,,,
2021,"Постачання пари, гарячої води та кондиційованого повітря",,,,14.0
2022,"Постачання пари, гарячої води та кондиційованого повітря",,,,14.5
2023,"Постачання пари, гарячої води та кондиційованого повітря",,,,14.8
2024,"Постачання пари, гарячої води та кондиційованого повітря",,,,15.1
2015,Забір очищення та постачання води,,,,
2016,Забір очищення та постачання води,,,,
2017,Забір очищення та постачання води,,,,
2018,Забір очищення та постачання води,,,,
2019,Забір очищення та постачання води,,,,
2020,Забір очищення та постачання води,,,,
2021,Забір очищення та постачання води,,,,23.4
2022,Забір очищення та постачання води,,,,22.2
2023,Забір очищення та постачання води,,,,20.8
2024,Забір очищення та постачання води,,,,19.8
2015,"Каналізація, відведення й очищення стічних вод",,,,
2016,"Каналізація, відведення й очищення стічних вод",,,,
2017,"Каналізація, відведення й очищення стічних вод",,,,
2018,"Каналізація, відведення й очищення стічних вод",,,,
2019,"Каналізація, відведення й очищення стічних вод",,,,
2020,"Каналізація, відведення й очищення стічних вод",,,,
2021,"Каналізація, відведення й очищення стічних вод",,,,19.7
2022,"Каналізація, відведення й очищення стічних вод",,,,15.0
2023,"Каналізація, відведення й очищення стічних вод",,,,18.3
2024,"Каналізація, відведення й очищення стічних вод",,,,19.5
2015,Збирання безпечних відходів,,,,
2016,Збирання безпечних відходів,,,,
2017,Збирання безпечних відходів,,,,
2018,Збирання безпечних відходів,,,,
2019,Збирання безпечних відходів,,,,
2020,Збирання безпечних відходів,,,,
2021,Збирання безпечних відходів,,,,18.0
2022,Збирання безпечних відходів,,,,19.6
2023,Збирання безпечних відходів,,,,19.5
2024,Збирання безпечних відходів,,,,19.7
2015,Збирання небезпечних відходів,,,,
2016,Збирання небезпечних відходів,,,,
2017,Збирання небезпечних відходів,,,,
2018,Збирання небезпечних відходів,,,,
2019,Збирання небезпечних відходів,,,,
2020,Збирання небезпечних відходів,,,,
2021,Збирання небезпечних відходів,,,,10.3
2022,Збирання небезпечних відходів,,,,18.2
2023,Збирання небезпечних відходів,,,,16.0
2024,Збирання небезпечних відходів,,,,22.0
2015,Оброблення та видалення безпечних відходів,,,,
2016,Оброблення та видалення безпечних відходів,,,,
2017,Оброблення та видалення безпечних відходів,,,,
2018,Оброблення та видалення безпечних відходів,,,,
2019,Оброблення та видалення безпечних відходів,,,,
2020,Оброблення та видалення безпечних відходів,,,,
2021,Оброблення та видалення безпечних відходів,,,,19.8
2022,Оброблення та видалення безпечних відходів,,,,18.4
2023,Оброблення та видалення безпечних відходів,,,,18.6
2024,Оброблення та видалення безпечних відходів,,,,23.6
2015,Оброблення та видалення небезпечних відходів,,,,
2016,Оброблення та видалення небезпечних відходів,,,,
2017,Оброблення та видалення небезпечних відходів,,,,
2018,Оброблення та видалення небезпечних відходів,,,,
2019,Оброблення та видалення небезпечних відходів,,,,
2020,Оброблення та видалення небезпечних відходів,,,,
2021,Оброблення та видалення небезпечних відходів,,,,25.0
2022,Оброблення та видалення небезпечних відходів,,,,25.5
2023,Оброблення та видалення небезпечних відходів,,,,33.3
2024,Оброблення та видалення небезпечних відходів,,,,34.0
2015,Демонтаж (розбирання) машин і устатковання,,,,
2016,Демонтаж (розбирання) машин і устатковання,,,,
2017,Демонтаж (розбирання) машин і устатковання,,,,
2018,Демонтаж (розбирання) машин і устатковання,,,,
2019,Демонтаж (розбирання) машин і устатковання,,,,
2020,Демонтаж (розбирання) машин і устатковання,,,,
2021,Демонтаж (розбирання) машин і устатковання,,,,16.7
2022,Демонтаж (розбирання) машин і устатковання,,,,13.4
2023,Демонтаж (розбирання) машин і устатковання,,,,15.9
2024,Демонтаж (розбирання) машин і устатковання,,,,15.4
2015,Відновлення відсортованих відходів,,,,
2016,Відновлення відсортованих відходів,,,,
2017,Відновлення відсортованих відходів,,,,
2018,Відновлення відсортованих відходів,,,,
2019,Відновлення відсортованих відходів,,,,
2020,Відновлення відсортованих відходів,,,,
2021,Відновлення відсортованих відходів,,,,21.0
2022,Відновлення відсортованих відходів,,,,20.5
2023,Відновлення відсортованих відходів,,,,19.1
2024,Відновлення відсортованих відходів,,,,20.4
2015,Інша діяльність щодо поводження з відходами,,,,
2016,Інша діяльність щодо поводження з відходами,,,,
2017,Інша діяльність щодо поводження з відходами,,,,
2018,Інша діяльність щодо поводження з відходами,,,,
2019,Інша діяльність щодо поводження з відходами,,,,
2020,Інша діяльність щодо поводження з відходами,,,,
2021,Інша діяльність щодо поводження з відходами,,,,20.0
2022,Інша діяльність щодо поводження з відходами,,,,18.6
2023,Інша діяльність щодо поводження з відходами,,,,9.1
2024,Інша діяльність щодо поводження з відходами,,,,7.9
2015,Організація будівництва будівель,,,,
2016,Організація будівництва будівель,,,,
2017,Організація будівництва будівель,,,,
2018,Організація будівництва будівель,,,,
2019,Організація будівництва будівель,,,,
2020,Організація будівництва будівель,,,,
2021,Організація будівництва будівель,,,,22.1
2022,Організація будівництва будівель,,,,22.1
2023,Організація будівництва будівель,,,,22.3
2024,Організація будівництва будівель,,,,24.1
2015,Будівництво житлових і нежитлових будівель,,,,
2016,Будівництво житлових і нежитлових будівель,,,,
2017,Будівництво житлових і нежитлових будівель,,,,
2018,Будівництво житлових і нежитлових будівель,,,,
2019,Будівництво житлових і нежитлових будівель,,,,
2020,Будівництво житлових і нежитлових будівель,,,,
2021,Будівництво житлових і нежитлових будівель,,,,16.0
2022,Будівництво житлових і нежитлових будівель,,,,16.1
2023,Будівництво житлових і нежитлових будівель,,,,16.7
2024,Будівництво житлових і нежитлових будівель,,,,18.1
2015,Будівництво доріг і автострад,,,,
2016,Будівництво доріг і автострад,,,,
2017,Будівництво доріг і автострад,,,,
2018,Будівництво доріг і автострад,,,,
2019,Будівництво доріг і автострад,,,,
2020,Будівництво доріг і автострад,,,,
2021,Будівництво доріг і автострад,,,,13.2
2022,Будівництво доріг і автострад,,,,14.0
2023,Будівництво доріг і автострад,,,,14.0
2024,Будівництво доріг і автострад,,,,14.8
2015,Будівництво залізниць і метрополітену,,,,
2016,Будівництво залізниць і метрополітену,,,,
2017,Будівництво залізниць і метрополітену,,,,
2018,Будівництво залізниць і метрополітену,,,,
2019,Будівництво залізниць і метрополітену,,,,
2020,Будівництво залізниць і метрополітену,,,,
2021,Будівництво залізниць і метрополітену,,,,13.8
2022,Будівництво залізниць і метрополітену,,,,11.7
2023,Будівництво залізниць і метрополітену,,,,10.7
2024,Будівництво залізниць і метрополітену,,,,14.3
2015,Будівництво мостів і тунелів,,,,
2016,Будівництво мостів і тунелів,,,,
2017,Будівництво мостів і тунелів,,,,
2018,Будівництво мостів і тунелів,,,,
2019,Будівництво мостів і тунелів,,,,
2020,Будівництво мостів і тунелів,,,,
2021,Будівництво мостів і тунелів,,,,12.9
2022,Будівництво мостів і тунелів,,,,14.1
2023,Будівництво мостів і тунелів,,,,14.8
2024,Будівництво мостів і тунелів,,,,15.0
2015,Будівництво трубопроводів,,,,
2016,Будівництво трубопроводів,,,,
2017,Будівництво трубопроводів,,,,
2018,Будівництво трубопроводів,,,,
2019,Будівництво трубопроводів,,,,
2020,Будівництво трубопроводів,,,,
2021,Будівництво трубопроводів,,,,14.1
2022,Будівництво трубопроводів,,,,13.9
2023,Будівництво трубопроводів,,,,12.9
2024,Будівництво трубопроводів,,,,14.6
2015,Будівництво споруд електропостачання та телекомунікацій,,,,
2016,Будівництво споруд електропостачання та телекомунікацій,,,,
2017,Будівництво споруд електропостачання та телекомунікацій,,,,
2018,Будівництво споруд електропостачання та телекомунікацій,,,,
2019,Будівництво споруд електропостачання та телекомунікацій,,,,
2020,Будівництво споруд електропостачання та телекомунікацій,,,,
2021,Будівництво споруд електропостачання та телекомунікацій,,,,12.5
2022,Будівництво споруд електропостачання та телекомунікацій,,,,14.1
2023,Будівництво споруд електропостачання та телекомунікацій,,,,13.2
2024,Будівництво споруд електропостачання та телекомунікацій,,,,15.8
2015,Будівництво водних споруд,,,,
2016,Будівництво водних споруд,,,,
2017,Будівництво водних споруд,,,,
2018,Будівництво водних споруд,,,,
2019,Будівництво водних споруд,,,,
2020,Будівництво водних споруд,,,,
2021,Будівництво водних споруд,,,,15.3
2022,Будівництво водних споруд,,,,14.5
2023,Будівництво водних споруд,,,,12.6
2024,Будівництво водних споруд,,,,14.6
2015,"Будівництво інших споруд, н.в.і.у.",,,,
2016,"Будівництво інших споруд, н.в.і.у.",,,,
2017,"Будівництво інших споруд, н.в.і.у.",,,,
2018,"Будівництво інших споруд, н.в.і.у.",,,,
2019,"Будівництво інших споруд, н.в.і.у.",,,,
2020,"Будівництво інших споруд, н.в.і.у.",,,,
2021,"Будівництво інших споруд, н.в.і.у.",,,,18.7
2022,"Будівництво інших споруд, н.в.і.у.",,,,19.6
2023,"Будівництво інших споруд, н.в.і.у.",,,,19.3
2024,"Будівництво інших споруд, н.в.і.у.",,,,17.6
2015,Знесення,,,,
2016,Знесення,,,,
2017,Знесення,,,,
2018,Знесення,,,,
2019,Знесення,,,,
2020,Знесення,,,,
2021,Знесення,,,,13.0
2022,Знесення,,,,12.4
2023,Знесення,,,,14.8
2024,Знесення,,,,20.0
2015,Підготовчі роботи на будівельному майданчику,,,,
2016,Підготовчі роботи на будівельному майданчику,,,,
2017,Підготовчі роботи на будівельному майданчику,,,,
2018,Підготовчі роботи на будівельному майданчику,,,,
2019,Підготовчі роботи на будівельному майданчику,,,,
2020,Підготовчі роботи на будівельному майданчику,,,,
2021,Підготовчі роботи на будівельному майданчику,,,,15.3
2022,Підготовчі роботи на будівельному майданчику,,,,16.9
2023,Підготовчі роботи на будівельному майданчику,,,,19.2
2024,Підготовчі роботи на будівельному майданчику,,,,21.7
2015,Розвідувальне буріння,,,,
2016,Розвідувальне буріння,,,,
2017,Розвідувальне буріння,,,,
2018,Розвідувальне буріння,,,,
2019,Розвідувальне буріння,,,,
2020,Розвідувальне буріння,,,,
2021,Розвідувальне буріння,,,,12.0
2022,Розвідувальне буріння,,,,11.0
2023,Розвідувальне буріння,,,,10.7
2024,Розвідувальне буріння,,,,10.3
2015,Електромонтажні роботи,,,,
2016,Електромонтажні роботи,,,,
2017,Електромонтажні роботи,,,,
2018,Електромонтажні роботи,,,,
2019,Електромонтажні роботи,,,,
2020,Електромонтажні роботи,,,,
2021,Електромонтажні роботи,,,,14.3
2022,Електромонтажні роботи,,,,14.1
2023,Електромонтажні роботи,,,,14.9
2024,Електромонтажні роботи,,,,16.4
2015,"Монтаж водопровідних мереж, систем опалення та кондиціонування",,,,
2016,"Монтаж водопровідних мереж, систем опалення та кондиціонування",,,,
2017,"Монтаж водопровідних мереж, систем опалення та кондиціонування",,,,
2018,"Монтаж водопровідних мереж, систем опалення та кондиціонування",,,,
2019,"Монтаж водопровідних мереж, систем опалення та кондиціонування",,,,
2020,"Монтаж водопровідних мереж, систем опалення та кондиціонування",,,,
2021,"Монтаж водопровідних мереж, систем опалення та кондиціонування",,,,14.6
2022,"Монтаж водопровідних мереж, систем опалення та кондиціонування",,,,14.9
2023,"Монтаж водопровідних мереж, систем опалення та кондиціонування",,,,15.1
2024,"Монтаж водопровідних мереж, систем опалення та кондиціонування",,,,16.1
2015,Інші будівельно-монтажні роботи,,,,
2016,Інші будівельно-монтажні роботи,,,,
2017,Інші будівельно-монтажні роботи,,,,
2018,Інші будівельно-монтажні роботи,,,,
2019,Інші будівельно-монтажні роботи,,,,
2020,Інші будівельно-монтажні роботи,,,,
2021,Інші будівельно-монтажні роботи,,,,16.1
2022,Інші будівельно-монтажні роботи,,,,16.1
2023,Інші будівельно-монтажні роботи,,,,17.5
2024,Інші будівельно-монтажні роботи,,,,18.7
2015,Штукатурні роботи,,,,
2016,Штукатурні роботи,,,,
2017,Штукатурні роботи,,,,
2018,Штукатурні роботи,,,,
2019,Штукатурні роботи,,,,
2020,Штукатурні роботи,,,,
2021,Штукатурні роботи,,,,17.8
2022,Штукатурні роботи,,,,17.2
2023,Штукатурні роботи,,,,22.7
2024,Штукатурні роботи,,,,21.7
