Year,by types of economic activity,by the organisational and legal forms,Region,Number of employees,Value
2018,"agents involved in the sale of furniture, household goods, hardware and ironmongery",,,,
2019,"agents involved in the sale of furniture, household goods, hardware and ironmongery",,,,
2020,"agents involved in the sale of furniture, household goods, hardware and ironmongery",,,,
2021,"agents involved in the sale of furniture, household goods, hardware and ironmongery",,,,25.9
2022,"agents involved in the sale of furniture, household goods, hardware and ironmongery",,,,28.3
2023,"agents involved in the sale of furniture, household goods, hardware and ironmongery",,,,24.3
2024,"agents involved in the sale of furniture, household goods, hardware and ironmongery",,,,23.2
2015,"agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,,
2016,"agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,,
2017,"agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,,
2018,"agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,,
2019,"agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,,
2020,"agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,,
2021,"agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,,37.1
2022,"agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,,38.6
2023,"agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,,29.7
2024,"agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,,42.3
2015,"agents involved in the sale of food, beverages and tobacco",,,,
2016,"agents involved in the sale of food, beverages and tobacco",,,,
2017,"agents involved in the sale of food, beverages and tobacco",,,,
2018,"agents involved in the sale of food, beverages and tobacco",,,,
2019,"agents involved in the sale of food, beverages and tobacco",,,,
2020,"agents involved in the sale of food, beverages and tobacco",,,,
2021,"agents involved in the sale of food, beverages and tobacco",,,,28.8
2022,"agents involved in the sale of food, beverages and tobacco",,,,28.3
2023,"agents involved in the sale of food, beverages and tobacco",,,,30.0
2024,"agents involved in the sale of food, beverages and tobacco",,,,36.1
2015,agents specialised in the sale of other particular products,,,,
2016,agents specialised in the sale of other particular products,,,,
2017,agents specialised in the sale of other particular products,,,,
2018,agents specialised in the sale of other particular products,,,,
2019,agents specialised in the sale of other particular products,,,,
2020,agents specialised in the sale of other particular products,,,,
2021,agents specialised in the sale of other particular products,,,,32.6
2022,agents specialised in the sale of other particular products,,,,34.9
2023,agents specialised in the sale of other particular products,,,,35.4
2024,agents specialised in the sale of other particular products,,,,39.1
2015,agents involved in the sale of a variety of goods,,,,
2016,agents involved in the sale of a variety of goods,,,,
2017,agents involved in the sale of a variety of goods,,,,
2018,agents involved in the sale of a variety of goods,,,,
2019,agents involved in the sale of a variety of goods,,,,
2020,agents involved in the sale of a variety of goods,,,,
2021,agents involved in the sale of a variety of goods,,,,29.0
2022,agents involved in the sale of a variety of goods,,,,29.9
2023,agents involved in the sale of a variety of goods,,,,29.3
2024,agents involved in the sale of a variety of goods,,,,32.7
2015,"wholesale of grain, unmanufactured tobacco, seeds and animal feeds",,,,
2016,"wholesale of grain, unmanufactured tobacco, seeds and animal feeds",,,,
2017,"wholesale of grain, unmanufactured tobacco, seeds and animal feeds",,,,
2018,"wholesale of grain, unmanufactured tobacco, seeds and animal feeds",,,,
2019,"wholesale of grain, unmanufactured tobacco, seeds and animal feeds",,,,
2020,"wholesale of grain, unmanufactured tobacco, seeds and animal feeds",,,,
2021,"wholesale of grain, unmanufactured tobacco, seeds and animal feeds",,,,23.4
2022,"wholesale of grain, unmanufactured tobacco, seeds and animal feeds",,,,23.8
2023,"wholesale of grain, unmanufactured tobacco, seeds and animal feeds",,,,24.1
2024,"wholesale of grain, unmanufactured tobacco, seeds and animal feeds",,,,25.4
2015,wholesale of flowers and plants,,,,
2016,wholesale of flowers and plants,,,,
2017,wholesale of flowers and plants,,,,
2018,wholesale of flowers and plants,,,,
2019,wholesale of flowers and plants,,,,
2020,wholesale of flowers and plants,,,,
2021,wholesale of flowers and plants,,,,39.9
2022,wholesale of flowers and plants,,,,45.9
2023,wholesale of flowers and plants,,,,42.6
2024,wholesale of flowers and plants,,,,46.2
2015,wholesale of live animals,,,,
2016,wholesale of live animals,,,,
2017,wholesale of live animals,,,,
2018,wholesale of live animals,,,,
2019,wholesale of live animals,,,,
2020,wholesale of live animals,,,,
2021,wholesale of live animals,,,,23.5
2022,wholesale of live animals,,,,19.0
2023,wholesale of live animals,,,,16.7
2024,wholesale of live animals,,,,23.8
2015,"wholesale of hides, skins and leather",,,,
2016,"wholesale of hides, skins and leather",,,,
2017,"wholesale of hides, skins and leather",,,,
2018,"wholesale of hides, skins and leather",,,,
2019,"wholesale of hides, skins and leather",,,,
2020,"wholesale of hides, skins and leather",,,,
2021,"wholesale of hides, skins and leather",,,,21.2
2022,"wholesale of hides, skins and leather",,,,23.1
2023,"wholesale of hides, skins and leather",,,,12.9
2024,"wholesale of hides, skins and leather",,,,20.0
2015,wholesale of fruit and vegetables,,,,
2016,wholesale of fruit and vegetables,,,,
2017,wholesale of fruit and vegetables,,,,
2018,wholesale of fruit and vegetables,,,,
2019,wholesale of fruit and vegetables,,,,
2020,wholesale of fruit and vegetables,,,,
2021,wholesale of fruit and vegetables,,,,27.0
2022,wholesale of fruit and vegetables,,,,26.8
2023,wholesale of fruit and vegetables,,,,28.8
2024,wholesale of fruit and vegetables,,,,30.8
2015,wholesale of meat and meat products,,,,
2016,wholesale of meat and meat products,,,,
2017,wholesale of meat and meat products,,,,
2018,wholesale of meat and meat products,,,,
2019,wholesale of meat and meat products,,,,
2020,wholesale of meat and meat products,,,,
2021,wholesale of meat and meat products,,,,29.8
2022,wholesale of meat and meat products,,,,29.7
2023,wholesale of meat and meat products,,,,29.7
2024,wholesale of meat and meat products,,,,31.0
2015,"wholesale of dairy products, eggs and edible oils and fats",,,,
2016,"wholesale of dairy products, eggs and edible oils and fats",,,,
2017,"wholesale of dairy products, eggs and edible oils and fats",,,,
2018,"wholesale of dairy products, eggs and edible oils and fats",,,,
2019,"wholesale of dairy products, eggs and edible oils and fats",,,,
2020,"wholesale of dairy products, eggs and edible oils and fats",,,,
2021,"wholesale of dairy products, eggs and edible oils and fats",,,,27.3
2022,"wholesale of dairy products, eggs and edible oils and fats",,,,27.8
2023,"wholesale of dairy products, eggs and edible oils and fats",,,,28.4
2024,"wholesale of dairy products, eggs and edible oils and fats",,,,28.6
2015,wholesale of beverages,,,,
2016,wholesale of beverages,,,,
2017,wholesale of beverages,,,,
2018,wholesale of beverages,,,,
2019,wholesale of beverages,,,,
2020,wholesale of beverages,,,,
2021,wholesale of beverages,,,,26.3
2022,wholesale of beverages,,,,25.8
2023,wholesale of beverages,,,,25.9
2024,wholesale of beverages,,,,30.4
2015,wholesale of tobacco products,,,,
2016,wholesale of tobacco products,,,,
2017,wholesale of tobacco products,,,,
2018,wholesale of tobacco products,,,,
2019,wholesale of tobacco products,,,,
2020,wholesale of tobacco products,,,,
2021,wholesale of tobacco products,,,,21.9
2022,wholesale of tobacco products,,,,19.6
2023,wholesale of tobacco products,,,,22.5
2024,wholesale of tobacco products,,,,25.0
2015,wholesale of sugar and chocolate and sugar confectionery,,,,
2016,wholesale of sugar and chocolate and sugar confectionery,,,,
2017,wholesale of sugar and chocolate and sugar confectionery,,,,
2018,wholesale of sugar and chocolate and sugar confectionery,,,,
2019,wholesale of sugar and chocolate and sugar confectionery,,,,
2020,wholesale of sugar and chocolate and sugar confectionery,,,,
2021,wholesale of sugar and chocolate and sugar confectionery,,,,29.8
2022,wholesale of sugar and chocolate and sugar confectionery,,,,28.5
2023,wholesale of sugar and chocolate and sugar confectionery,,,,27.7
2024,wholesale of sugar and chocolate and sugar confectionery,,,,31.2
2015,"wholesale of coffee, tea, cocoa and spices",,,,
2016,"wholesale of coffee, tea, cocoa and spices",,,,
2017,"wholesale of coffee, tea, cocoa and spices",,,,
2018,"wholesale of coffee, tea, cocoa and spices",,,,
2019,"wholesale of coffee, tea, cocoa and spices",,,,
2020,"wholesale of coffee, tea, cocoa and spices",,,,
2021,"wholesale of coffee, tea, cocoa and spices",,,,28.1
2022,"wholesale of coffee, tea, cocoa and spices",,,,29.9
2023,"wholesale of coffee, tea, cocoa and spices",,,,29.2
2024,"wholesale of coffee, tea, cocoa and spices",,,,30.0
2015,"wholesale of other food, including fish, crustaceans and molluscs",,,,
2016,"wholesale of other food, including fish, crustaceans and molluscs",,,,
2017,"wholesale of other food, including fish, crustaceans and molluscs",,,,
2018,"wholesale of other food, including fish, crustaceans and molluscs",,,,
2019,"wholesale of other food, including fish, crustaceans and molluscs",,,,
2020,"wholesale of other food, including fish, crustaceans and molluscs",,,,
2021,"wholesale of other food, including fish, crustaceans and molluscs",,,,28.1
2022,"wholesale of other food, including fish, crustaceans and molluscs",,,,27.1
2023,"wholesale of other food, including fish, crustaceans and molluscs",,,,27.8
2024,"wholesale of other food, including fish, crustaceans and molluscs",,,,29.7
2015,"non-specialised wholesale of food, beverages and tobacco",,,,
2016,"non-specialised wholesale of food, beverages and tobacco",,,,
2017,"non-specialised wholesale of food, beverages and tobacco",,,,
2018,"non-specialised wholesale of food, beverages and tobacco",,,,
2019,"non-specialised wholesale of food, beverages and tobacco",,,,
2020,"non-specialised wholesale of food, beverages and tobacco",,,,
2021,"non-specialised wholesale of food, beverages and tobacco",,,,27.6
2022,"non-specialised wholesale of food, beverages and tobacco",,,,27.1
2023,"non-specialised wholesale of food, beverages and tobacco",,,,27.4
2024,"non-specialised wholesale of food, beverages and tobacco",,,,30.7
2015,wholesale of textiles,,,,
2016,wholesale of textiles,,,,
2017,wholesale of textiles,,,,
2018,wholesale of textiles,,,,
2019,wholesale of textiles,,,,
2020,wholesale of textiles,,,,
2021,wholesale of textiles,,,,34.0
2022,wholesale of textiles,,,,35.3
2023,wholesale of textiles,,,,32.6
2024,wholesale of textiles,,,,37.5
2015,wholesale of clothing and footwear,,,,
2016,wholesale of clothing and footwear,,,,
2017,wholesale of clothing and footwear,,,,
2018,wholesale of clothing and footwear,,,,
2019,wholesale of clothing and footwear,,,,
2020,wholesale of clothing and footwear,,,,
2021,wholesale of clothing and footwear,,,,33.8
2022,wholesale of clothing and footwear,,,,34.4
2023,wholesale of clothing and footwear,,,,35.3
2024,wholesale of clothing and footwear,,,,36.3
2015,wholesale of electrical household appliances,,,,
2016,wholesale of electrical household appliances,,,,
2017,wholesale of electrical household appliances,,,,
2018,wholesale of electrical household appliances,,,,
2019,wholesale of electrical household appliances,,,,
2020,wholesale of electrical household appliances,,,,
2021,wholesale of electrical household appliances,,,,20.7
2022,wholesale of electrical household appliances,,,,21.5
2023,wholesale of electrical household appliances,,,,21.7
2024,wholesale of electrical household appliances,,,,23.8
2015,wholesale of china and glassware and cleaning materials,,,,
2016,wholesale of china and glassware and cleaning materials,,,,
2017,wholesale of china and glassware and cleaning materials,,,,
2018,wholesale of china and glassware and cleaning materials,,,,
2019,wholesale of china and glassware and cleaning materials,,,,
2020,wholesale of china and glassware and cleaning materials,,,,
2021,wholesale of china and glassware and cleaning materials,,,,33.8
2022,wholesale of china and glassware and cleaning materials,,,,31.5
2023,wholesale of china and glassware and cleaning materials,,,,29.3
2024,wholesale of china and glassware and cleaning materials,,,,30.5
2015,wholesale of perfume and cosmetics,,,,
2016,wholesale of perfume and cosmetics,,,,
2017,wholesale of perfume and cosmetics,,,,
2018,wholesale of perfume and cosmetics,,,,
2019,wholesale of perfume and cosmetics,,,,
2020,wholesale of perfume and cosmetics,,,,
2021,wholesale of perfume and cosmetics,,,,44.1
2022,wholesale of perfume and cosmetics,,,,45.2
2023,wholesale of perfume and cosmetics,,,,46.0
2024,wholesale of perfume and cosmetics,,,,49.6
2015,wholesale of pharmaceutical goods,,,,
2016,wholesale of pharmaceutical goods,,,,
2017,wholesale of pharmaceutical goods,,,,
2018,wholesale of pharmaceutical goods,,,,
2019,wholesale of pharmaceutical goods,,,,
2020,wholesale of pharmaceutical goods,,,,
2021,wholesale of pharmaceutical goods,,,,35.1
2022,wholesale of pharmaceutical goods,,,,34.9
2023,wholesale of pharmaceutical goods,,,,34.8
2024,wholesale of pharmaceutical goods,,,,37.5
2015,"wholesale of furniture, carpets and lighting equipment",,,,
2016,"wholesale of furniture, carpets and lighting equipment",,,,
2017,"wholesale of furniture, carpets and lighting equipment",,,,
2018,"wholesale of furniture, carpets and lighting equipment",,,,
2019,"wholesale of furniture, carpets and lighting equipment",,,,
2020,"wholesale of furniture, carpets and lighting equipment",,,,
2021,"wholesale of furniture, carpets and lighting equipment",,,,28.4
2022,"wholesale of furniture, carpets and lighting equipment",,,,24.3
2023,"wholesale of furniture, carpets and lighting equipment",,,,25.6
2024,"wholesale of furniture, carpets and lighting equipment",,,,28.5
2015,wholesale of watches and jewellery,,,,
2016,wholesale of watches and jewellery,,,,
2017,wholesale of watches and jewellery,,,,
2018,wholesale of watches and jewellery,,,,
2019,wholesale of watches and jewellery,,,,
2020,wholesale of watches and jewellery,,,,
2021,wholesale of watches and jewellery,,,,44.8
2022,wholesale of watches and jewellery,,,,54.0
2023,wholesale of watches and jewellery,,,,52.6
2024,wholesale of watches and jewellery,,,,58.5
2015,wholesale of other household goods,,,,
2016,wholesale of other household goods,,,,
2017,wholesale of other household goods,,,,
2018,wholesale of other household goods,,,,
2019,wholesale of other household goods,,,,
2020,wholesale of other household goods,,,,
2021,wholesale of other household goods,,,,29.1
2022,wholesale of other household goods,,,,29.1
2023,wholesale of other household goods,,,,30.1
2024,wholesale of other household goods,,,,33.9
2015,"wholesale of computers, computer peripheral equipment and software",,,,
2016,"wholesale of computers, computer peripheral equipment and software",,,,
2017,"wholesale of computers, computer peripheral equipment and software",,,,
2018,"wholesale of computers, computer peripheral equipment and software",,,,
2019,"wholesale of computers, computer peripheral equipment and software",,,,
2020,"wholesale of computers, computer peripheral equipment and software",,,,
2021,"wholesale of computers, computer peripheral equipment and software",,,,15.9
2022,"wholesale of computers, computer peripheral equipment and software",,,,16.5
2023,"wholesale of computers, computer peripheral equipment and software",,,,17.0
2024,"wholesale of computers, computer peripheral equipment and software",,,,18.6
2015,wholesale of electronic and telecommunications equipment and parts,,,,
2016,wholesale of electronic and telecommunications equipment and parts,,,,
2017,wholesale of electronic and telecommunications equipment and parts,,,,
2018,wholesale of electronic and telecommunications equipment and parts,,,,
2019,wholesale of electronic and telecommunications equipment and parts,,,,
2020,wholesale of electronic and telecommunications equipment and parts,,,,
2021,wholesale of electronic and telecommunications equipment and parts,,,,17.9
2022,wholesale of electronic and telecommunications equipment and parts,,,,20.1
2023,wholesale of electronic and telecommunications equipment and parts,,,,20.8
2024,wholesale of electronic and telecommunications equipment and parts,,,,24.0
2015,"wholesale of agricultural machinery, equipment and supplies",,,,
2016,"wholesale of agricultural machinery, equipment and supplies",,,,
2017,"wholesale of agricultural machinery, equipment and supplies",,,,
2018,"wholesale of agricultural machinery, equipment and supplies",,,,
2019,"wholesale of agricultural machinery, equipment and supplies",,,,
2020,"wholesale of agricultural machinery, equipment and supplies",,,,
2021,"wholesale of agricultural machinery, equipment and supplies",,,,17.0
2022,"wholesale of agricultural machinery, equipment and supplies",,,,16.0
2023,"wholesale of agricultural machinery, equipment and supplies",,,,17.5
2024,"wholesale of agricultural machinery, equipment and supplies",,,,19.1
2015,wholesale of machine tools,,,,
2016,wholesale of machine tools,,,,
2017,wholesale of machine tools,,,,
2018,wholesale of machine tools,,,,
2019,wholesale of machine tools,,,,
2020,wholesale of machine tools,,,,
2021,wholesale of machine tools,,,,15.1
2022,wholesale of machine tools,,,,17.0
2023,wholesale of machine tools,,,,19.0
2024,wholesale of machine tools,,,,23.1
2015,"wholesale of mining, construction and civil engineering machinery",,,,
2016,"wholesale of mining, construction and civil engineering machinery",,,,
2017,"wholesale of mining, construction and civil engineering machinery",,,,
2018,"wholesale of mining, construction and civil engineering machinery",,,,
2019,"wholesale of mining, construction and civil engineering machinery",,,,
2020,"wholesale of mining, construction and civil engineering machinery",,,,
2021,"wholesale of mining, construction and civil engineering machinery",,,,20.5
2022,"wholesale of mining, construction and civil engineering machinery",,,,20.8
2023,"wholesale of mining, construction and civil engineering machinery",,,,21.4
2024,"wholesale of mining, construction and civil engineering machinery",,,,22.3
2015,wholesale of machinery for the textile industry and of sewing and knitting machines,,,,
2016,wholesale of machinery for the textile industry and of sewing and knitting machines,,,,
2017,wholesale of machinery for the textile industry and of sewing and knitting machines,,,,
2018,wholesale of machinery for the textile industry and of sewing and knitting machines,,,,
2019,wholesale of machinery for the textile industry and of sewing and knitting machines,,,,
2020,wholesale of machinery for the textile industry and of sewing and knitting machines,,,,
2021,wholesale of machinery for the textile industry and of sewing and knitting machines,,,,25.9
2022,wholesale of machinery for the textile industry and of sewing and knitting machines,,,,23.9
2023,wholesale of machinery for the textile industry and of sewing and knitting machines,,,,31.9
2024,wholesale of machinery for the textile industry and of sewing and knitting machines,,,,30.2
2015,wholesale of office furniture,,,,
2016,wholesale of office furniture,,,,
2017,wholesale of office furniture,,,,
2018,wholesale of office furniture,,,,
2019,wholesale of office furniture,,,,
2020,wholesale of office furniture,,,,
2021,wholesale of office furniture,,,,23.8
2022,wholesale of office furniture,,,,23.0
2023,wholesale of office furniture,,,,26.1
2024,wholesale of office furniture,,,,32.4
2015,wholesale of other office machinery and equipment,,,,
2016,wholesale of other office machinery and equipment,,,,
2017,wholesale of other office machinery and equipment,,,,
2018,wholesale of other office machinery and equipment,,,,
2019,wholesale of other office machinery and equipment,,,,
2020,wholesale of other office machinery and equipment,,,,
2021,wholesale of other office machinery and equipment,,,,22.4
2022,wholesale of other office machinery and equipment,,,,22.9
2023,wholesale of other office machinery and equipment,,,,25.0
2024,wholesale of other office machinery and equipment,,,,24.2
2015,wholesale of other machinery and equipment,,,,
2016,wholesale of other machinery and equipment,,,,
2017,wholesale of other machinery and equipment,,,,
2018,wholesale of other machinery and equipment,,,,
2019,wholesale of other machinery and equipment,,,,
2020,wholesale of other machinery and equipment,,,,
2021,wholesale of other machinery and equipment,,,,20.6
2022,wholesale of other machinery and equipment,,,,20.6
2023,wholesale of other machinery and equipment,,,,20.9
2024,wholesale of other machinery and equipment,,,,23.3
2015,"wholesale of solid, liquid and gaseous fuels and related products",,,,
2016,"wholesale of solid, liquid and gaseous fuels and related products",,,,
2017,"wholesale of solid, liquid and gaseous fuels and related products",,,,
2018,"wholesale of solid, liquid and gaseous fuels and related products",,,,
2019,"wholesale of solid, liquid and gaseous fuels and related products",,,,
2020,"wholesale of solid, liquid and gaseous fuels and related products",,,,
2021,"wholesale of solid, liquid and gaseous fuels and related products",,,,22.9
2022,"wholesale of solid, liquid and gaseous fuels and related products",,,,23.7
2023,"wholesale of solid, liquid and gaseous fuels and related products",,,,23.9
2024,"wholesale of solid, liquid and gaseous fuels and related products",,,,25.6
2015,wholesale of metals and metal ores,,,,
2016,wholesale of metals and metal ores,,,,
2017,wholesale of metals and metal ores,,,,
2018,wholesale of metals and metal ores,,,,
2019,wholesale of metals and metal ores,,,,
2020,wholesale of metals and metal ores,,,,
2021,wholesale of metals and metal ores,,,,22.0
2022,wholesale of metals and metal ores,,,,22.6
2023,wholesale of metals and metal ores,,,,23.1
2024,wholesale of metals and metal ores,,,,26.5
2015,"wholesale of wood, construction materials and sanitary equipment",,,,
2016,"wholesale of wood, construction materials and sanitary equipment",,,,
2017,"wholesale of wood, construction materials and sanitary equipment",,,,
2018,"wholesale of wood, construction materials and sanitary equipment",,,,
2019,"wholesale of wood, construction materials and sanitary equipment",,,,
2020,"wholesale of wood, construction materials and sanitary equipment",,,,
2021,"wholesale of wood, construction materials and sanitary equipment",,,,23.0
2022,"wholesale of wood, construction materials and sanitary equipment",,,,23.1
2023,"wholesale of wood, construction materials and sanitary equipment",,,,24.0
2024,"wholesale of wood, construction materials and sanitary equipment",,,,25.7
2015,"wholesale of hardware, plumbing and heating equipment and supplies",,,,
2016,"wholesale of hardware, plumbing and heating equipment and supplies",,,,
2017,"wholesale of hardware, plumbing and heating equipment and supplies",,,,
2018,"wholesale of hardware, plumbing and heating equipment and supplies",,,,
2019,"wholesale of hardware, plumbing and heating equipment and supplies",,,,
2020,"wholesale of hardware, plumbing and heating equipment and supplies",,,,
2021,"wholesale of hardware, plumbing and heating equipment and supplies",,,,21.0
2022,"wholesale of hardware, plumbing and heating equipment and supplies",,,,21.9
2023,"wholesale of hardware, plumbing and heating equipment and supplies",,,,22.0
2024,"wholesale of hardware, plumbing and heating equipment and supplies",,,,23.7
2015,wholesale of chemical products,,,,
2016,wholesale of chemical products,,,,
2017,wholesale of chemical products,,,,
2018,wholesale of chemical products,,,,
2019,wholesale of chemical products,,,,
2020,wholesale of chemical products,,,,
2021,wholesale of chemical products,,,,24.8
2022,wholesale of chemical products,,,,25.7
2023,wholesale of chemical products,,,,25.5
2024,wholesale of chemical products,,,,27.0
2015,wholesale of other intermediate products,,,,
2016,wholesale of other intermediate products,,,,
2017,wholesale of other intermediate products,,,,
2018,wholesale of other intermediate products,,,,
2019,wholesale of other intermediate products,,,,
2020,wholesale of other intermediate products,,,,
2021,wholesale of other intermediate products,,,,25.7
2022,wholesale of other intermediate products,,,,24.6
2023,wholesale of other intermediate products,,,,24.4
2024,wholesale of other intermediate products,,,,28.2
2015,wholesale of waste and scrap,,,,
2016,wholesale of waste and scrap,,,,
2017,wholesale of waste and scrap,,,,
2018,wholesale of waste and scrap,,,,
2019,wholesale of waste and scrap,,,,
2020,wholesale of waste and scrap,,,,
2021,wholesale of waste and scrap,,,,18.0
2022,wholesale of waste and scrap,,,,17.4
2023,wholesale of waste and scrap,,,,17.4
2024,wholesale of waste and scrap,,,,20.3
2015,non-specialised wholesale trade,,,,
2016,non-specialised wholesale trade,,,,
2017,non-specialised wholesale trade,,,,
2018,non-specialised wholesale trade,,,,
2019,non-specialised wholesale trade,,,,
2020,non-specialised wholesale trade,,,,
2021,non-specialised wholesale trade,,,,25.2
2022,non-specialised wholesale trade,,,,25.0
2023,non-specialised wholesale trade,,,,24.7
2024,non-specialised wholesale trade,,,,27.5
2015,"retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,
2016,"retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,
2017,"retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,
2018,"retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,
2019,"retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,
2020,"retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,
2021,"retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,49.6
2022,"retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,49.2
2023,"retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,48.5
2024,"retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,49.1
2015,other retail sale in non-specialised stores,,,,
2016,other retail sale in non-specialised stores,,,,
2017,other retail sale in non-specialised stores,,,,
2018,other retail sale in non-specialised stores,,,,
2019,other retail sale in non-specialised stores,,,,
2020,other retail sale in non-specialised stores,,,,
2021,other retail sale in non-specialised stores,,,,37.8
2022,other retail sale in non-specialised stores,,,,37.2
2023,other retail sale in non-specialised stores,,,,36.3
2024,other retail sale in non-specialised stores,,,,39.3
2015,retail sale of fruit and vegetables in specialised stores,,,,
2016,retail sale of fruit and vegetables in specialised stores,,,,
2017,retail sale of fruit and vegetables in specialised stores,,,,
2018,retail sale of fruit and vegetables in specialised stores,,,,
2019,retail sale of fruit and vegetables in specialised stores,,,,
2020,retail sale of fruit and vegetables in specialised stores,,,,
2021,retail sale of fruit and vegetables in specialised stores,,,,51.4
2022,retail sale of fruit and vegetables in specialised stores,,,,50.0
2023,retail sale of fruit and vegetables in specialised stores,,,,57.1
2024,retail sale of fruit and vegetables in specialised stores,,,,50.0
2015,retail sale of meat and meat products in specialised stores,,,,
2016,retail sale of meat and meat products in specialised stores,,,,
2017,retail sale of meat and meat products in specialised stores,,,,
2018,retail sale of meat and meat products in specialised stores,,,,
2019,retail sale of meat and meat products in specialised stores,,,,
2020,retail sale of meat and meat products in specialised stores,,,,
2021,retail sale of meat and meat products in specialised stores,,,,32.1
2022,retail sale of meat and meat products in specialised stores,,,,27.3
2023,retail sale of meat and meat products in specialised stores,,,,29.2
2024,retail sale of meat and meat products in specialised stores,,,,30.9
2015,"retail sale of fish, crustaceans and molluscs in specialised stores",,,,
2016,"retail sale of fish, crustaceans and molluscs in specialised stores",,,,
2017,"retail sale of fish, crustaceans and molluscs in specialised stores",,,,
2018,"retail sale of fish, crustaceans and molluscs in specialised stores",,,,
2019,"retail sale of fish, crustaceans and molluscs in specialised stores",,,,
2020,"retail sale of fish, crustaceans and molluscs in specialised stores",,,,
2021,"retail sale of fish, crustaceans and molluscs in specialised stores",,,,30.8
2022,"retail sale of fish, crustaceans and molluscs in specialised stores",,,,27.8
2023,"retail sale of fish, crustaceans and molluscs in specialised stores",,,,23.5
2024,"retail sale of fish, crustaceans and molluscs in specialised stores",,,,31.6
2015,"retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,,
2016,"retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,,
2017,"retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,,
2018,"retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,,
2019,"retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,,
2020,"retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,,
2021,"retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,,47.5
2022,"retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,,50.0
2023,"retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,,41.7
2024,"retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,,47.6
2015,retail sale of beverages in specialised stores,,,,
2016,retail sale of beverages in specialised stores,,,,
2017,retail sale of beverages in specialised stores,,,,
2018,retail sale of beverages in specialised stores,,,,
2019,retail sale of beverages in specialised stores,,,,
2020,retail sale of beverages in specialised stores,,,,
2021,retail sale of beverages in specialised stores,,,,43.7
2022,retail sale of beverages in specialised stores,,,,41.7
2023,retail sale of beverages in specialised stores,,,,44.1
2024,retail sale of beverages in specialised stores,,,,44.4
2015,retail sale of tobacco products in specialised stores,,,,
2016,retail sale of tobacco products in specialised stores,,,,
2017,retail sale of tobacco products in specialised stores,,,,
2018,retail sale of tobacco products in specialised stores,,,,
2019,retail sale of tobacco products in specialised stores,,,,
2020,retail sale of tobacco products in specialised stores,,,,
2021,retail sale of tobacco products in specialised stores,,,,40.8
2022,retail sale of tobacco products in specialised stores,,,,34.7
2023,retail sale of tobacco products in specialised stores,,,,36.0
2024,retail sale of tobacco products in specialised stores,,,,28.6
2015,other retail sale of food in specialised stores,,,,
2016,other retail sale of food in specialised stores,,,,
2017,other retail sale of food in specialised stores,,,,
2018,other retail sale of food in specialised stores,,,,
2019,other retail sale of food in specialised stores,,,,
2020,other retail sale of food in specialised stores,,,,
2021,other retail sale of food in specialised stores,,,,34.4
2022,other retail sale of food in specialised stores,,,,33.3
2023,other retail sale of food in specialised stores,,,,39.2
2024,other retail sale of food in specialised stores,,,,35.6
2015,retail sale of automotive fuel in specialised stores,,,,
2016,retail sale of automotive fuel in specialised stores,,,,
2017,retail sale of automotive fuel in specialised stores,,,,
2018,retail sale of automotive fuel in specialised stores,,,,
2019,retail sale of automotive fuel in specialised stores,,,,
2020,retail sale of automotive fuel in specialised stores,,,,
2021,retail sale of automotive fuel in specialised stores,,,,23.4
2022,retail sale of automotive fuel in specialised stores,,,,23.9
2023,retail sale of automotive fuel in specialised stores,,,,25.1
2024,retail sale of automotive fuel in specialised stores,,,,26.5
2015,"retail sale of computers, peripheral units and software in specialised stores",,,,
2016,"retail sale of computers, peripheral units and software in specialised stores",,,,
2017,"retail sale of computers, peripheral units and software in specialised stores",,,,
